username,timestamp,content,retweets,likes,replies,composite_signal,signal_confidence,trading_signal
user_171,2025-08-31 19:15:21+00:00,This is a sample tweet about Indian stock market #sensex,310,2119,452,-0.35178805010919784,0.8273574855936761,SELL
user_389,2025-08-31 19:15:15+00:00,This is a sample tweet about Indian stock market #sensex,554,80,265,-1.251243243725946,0.38594338362625213,HOLD
user_120,2025-08-31 19:14:21+00:00,This is a sample tweet about Indian stock market #nifty50,911,2371,106,0.5404101763940601,0.7347898212162819,STRONG_BUY
user_125,2025-08-31 19:13:33+00:00,This is a sample tweet about Indian stock market #intraday,971,1096,480,1.3148556397573068,0.3547251429985323,HOLD
user_393,2025-08-31 19:13:17+00:00,This is a sample tweet about Indian stock market #sensex,589,1027,343,-0.7116920287084654,0.6507320209398018,SELL
user_205,2025-08-31 19:12:42+00:00,This is a sample tweet about Indian stock market #intraday,882,889,99,0.5954581131899805,0.70777465052365,STRONG_BUY
user_485,2025-08-31 19:12:03+00:00,This is a sample tweet about Indian stock market #nifty50,633,1428,183,0.006653830293193693,0.9967345849528046,HOLD
user_379,2025-08-31 19:11:34+00:00,This is a sample tweet about Indian stock market #nifty50,887,744,198,-0.026128417978494453,0.9871772910538993,HOLD
user_263,2025-08-31 19:10:34+00:00,This is a sample tweet about Indian stock market #intraday,76,1755,212,0.3885984451449007,0.8092925196197567,BUY
user_431,2025-08-31 19:10:17+00:00,This is a sample tweet about Indian stock market #nifty50,692,1287,223,0.05942887110862467,0.9708348543012257,HOLD
user_437,2025-08-31 19:10:08+00:00,This is a sample tweet about Indian stock market #intraday,519,2725,36,0.939861629236974,0.5387561492917992,HOLD
user_461,2025-08-31 19:09:04+00:00,This is a sample tweet about Indian stock market #banknifty,597,91,391,-0.28174208970941844,0.8617330441826332,SELL
user_224,2025-08-31 19:08:20+00:00,This is a sample tweet about Indian stock market #banknifty,38,1413,4,-0.7991851861313654,0.6077941249932252,SELL
user_430,2025-08-31 19:08:01+00:00,This is a sample tweet about Indian stock market #intraday,637,1516,273,0.8866450403226499,0.564872572846962,HOLD
user_247,2025-08-31 19:07:55+00:00,This is a sample tweet about Indian stock market #banknifty,639,2289,423,0.7188876390566725,0.6472007234360424,BUY
user_402,2025-08-31 19:07:50+00:00,This is a sample tweet about Indian stock market #nifty50,686,2805,396,0.9374747443310375,0.5399275302174205,HOLD
user_246,2025-08-31 19:07:23+00:00,This is a sample tweet about Indian stock market #sensex,229,2004,182,-0.8646624503837178,0.5756606868805191,HOLD
user_473,2025-08-31 19:06:35+00:00,This is a sample tweet about Indian stock market #nifty50,586,1907,160,0.1302929239698361,0.9360578109559936,HOLD
user_262,2025-08-31 19:06:12+00:00,This is a sample tweet about Indian stock market #sensex,208,616,98,-1.5840103888471622,0.2226355150738436,HOLD
user_294,2025-08-31 19:05:13+00:00,This is a sample tweet about Indian stock market #banknifty,701,417,337,-0.1297479618445475,0.9363252550364197,HOLD
user_63,2025-08-31 19:04:07+00:00,This is a sample tweet about Indian stock market #nifty50,380,314,419,-0.3451798741789521,0.8306004954340696,SELL
